timestamp,hum_air,temperature,lumiere
2026-04-23 17:24:19,17.0,34.1,546
2026-04-23 17:24:21,17.0,34.1,539
2026-04-23 17:24:23,17.0,34.1,531
2026-04-23 17:24:25,17.0,34.1,547
2026-04-23 17:24:27,16.0,34.1,531
2026-04-23 17:24:29,16.0,34.1,547
2026-04-23 17:24:31,16.0,34.1,539
2026-04-23 17:24:33,16.0,34.1,539
2026-04-23 17:24:36,16.0,34.1,549
2026-04-23 17:24:38,16.0,34.1,532
2026-04-23 17:24:40,16.0,34.1,538
2026-04-23 17:24:42,16.0,34.1,547
2026-04-23 17:24:44,16.0,34.1,543
2026-04-23 17:24:46,16.0,34.1,519
2026-04-23 17:24:48,16.0,34.1,519
2026-04-23 17:24:50,16.0,34.1,523
2026-04-23 17:24:52,16.0,34.1,523
2026-04-23 17:24:54,16.0,34.1,527
2026-04-23 17:24:56,16.0,34.1,533
2026-04-23 17:24:58,16.0,34.1,538
2026-04-23 17:25:00,16.0,34.1,540
2026-04-23 17:25:02,16.0,34.1,532
2026-04-23 17:25:04,16.0,34.1,537
2026-04-23 17:25:06,16.0,34.1,535
2026-04-23 17:25:08,17.0,34.1,536
2026-04-23 17:25:10,17.0,34.1,541
2026-04-23 17:25:12,17.0,34.1,522
2026-04-23 17:25:14,17.0,34.1,532
2026-04-23 17:25:16,17.0,34.1,539
2026-04-23 17:25:18,17.0,34.1,525
2026-04-23 17:25:20,17.0,34.1,539
2026-04-23 17:25:22,16.0,34.1,544
2026-04-23 17:25:24,16.0,34.1,523
2026-04-23 17:25:26,16.0,34.1,521
2026-04-23 17:25:28,16.0,34.1,532
2026-04-23 17:25:30,16.0,34.1,541
2026-04-23 17:25:32,16.0,34.1,544
2026-04-23 17:25:34,16.0,34.1,536
2026-04-23 17:25:36,16.0,34.1,537
2026-04-23 17:25:38,16.0,34.1,537
2026-04-23 17:25:41,16.0,34.1,535
2026-04-23 17:25:43,16.0,34.1,539
2026-04-23 17:25:45,16.0,34.1,538
2026-04-23 17:25:47,16.0,34.1,547
